ID,N_total,N_shell/N_total,R_min,R_max,R_avg,R_std,R_skew,R_kurt,CN_min,CN_max,CN_avg,CN_std,CN_skew,CN_kurt,SCN_min,SCN_max,SCN_avg,SCN_std,SCN_skew,SCN_kurt,ABL_min,ABL_max,ABL_avg,ABL_std,ABL_skew,ABL_kurt,BL_min,BL_max,BL_avg,BL_std,BL_skew,BL_kurt,SBL_min,SBL_max,SBL_avg,SBL_std,SBL_skew,SBL_kurt,ABA_min,ABA_max,ABA_avg,ABA_std,ABA_skew,ABA_kurt,BA_min,BA_max,BA_avg,BA_std,BA_skew,BA_kurt,SBA_min,SBA_max,SBA_avg,SBA_std,SBA_skew,SBA_kurt,Classical_E,Classical_E/N,Mermin_E,Delta_E,Delta_E/N,Fermi_L
2182,517,0.609284333,1.480838093,20.01712798,12.53214009,3.572400341,-0.497115484,0.13476587,2,12,7.636363636,1.830849108,0.03468649,-0.579849371,2,10,6.555555556,1.294005998,-0.069645397,0.323244234,2.432646506,2.961065873,2.7873,0.075241527,-0.916917648,1.858899551,2.038607613,3.119369968,2.798840117,0.175015437,-0.278064343,-0.360252612,2.038607613,3.119369968,2.783411524,0.181387752,-0.242760228,-0.415026288,66.80108771,108.2345926,93.54875705,5.710625937,-1.159369612,1.136841428,43.61025394,179.1115299,95.15328257,33.1363859,0.445162814,-0.892364814,45.04537537,177.3964298,92.09851317,32.48879149,0.562311947,-0.772614719,-1801.3253,-3.484188201,-1611.0683,190.257,0.368001934,-3.8737
2183,866,0.430715935,11.55364473,18.21523607,14.10409245,1.15989121,0.612481209,0.788212429,3,12,8.709006928,1.798094607,-0.345663642,-0.555600699,3,11,7.168900804,1.326284374,-0.07656913,-0.221548946,2.55631267,3.007939409,2.826992967,0.067893613,-0.598584359,0.772768808,2.18715363,3.185958412,2.836052682,0.181119258,-0.112808777,-0.603905377,2.18715363,3.184414703,2.806468974,0.185253096,-0.062062094,-0.56966365,60.12005618,101.7407294,94.9529678,4.775223898,-2.151250381,6.007543753,42.00256534,179.4444946,96.04791702,33.56734147,0.420001894,-0.88051536,42.66580386,179.438887,92.68906508,33.25702754,0.542991285,-0.776962544,-3107.3491,-3.588162933,-2790.2419,317.1072,0.366174596,-3.8373
2191,391,0.554987212,7.330248764,15.04770329,10.69075261,1.703848145,0.188993301,-0.718267198,2,12,8.168797954,1.932753672,-0.254476416,-0.491300185,2,11,6.870967742,1.447198918,-0.150671562,0.575368373,2.54441035,3.012278712,2.810706153,0.073731525,-0.586652585,0.744480524,2.25266642,3.191743881,2.822405791,0.189230325,-0.075111071,-0.690709601,2.25266642,3.191743881,2.797204837,0.189479472,-0.042304196,-0.654939242,66.76076683,114.0567697,93.8509713,5.686828689,-1.398932213,2.562896119,44.3908504,179.6210263,95.43649883,33.35278468,0.409023317,-0.937819867,46.87428647,179.6210263,92.41844215,33.10024038,0.541717923,-0.797779116,-1369.0572,-3.501425064,-1235.558,133.4992,0.341430179,-3.8891
2192,398,0.545226131,6.543980025,14.22108736,10.74876751,1.623404346,0.040150727,-0.703351991,4,12,8.587939698,1.950535747,-0.102975767,-1.003462281,4,10,7.225806452,1.360717886,0.161301208,-0.632606222,2.652061561,3.003646862,2.83308837,0.068144902,-0.257980646,-0.389399549,2.322048449,3.223806136,2.843021676,0.194331989,-0.035045415,-0.70301484,2.322048449,3.22229049,2.819954975,0.198198554,0.007790898,-0.693560339,75.97401648,100.1012113,93.74128968,4.922732481,-1.333170162,1.253918114,43.64177012,179.6848488,95.21291083,33.48565262,0.423104201,-0.900886424,45.33449913,178.5881656,91.9234734,33.05423466,0.553969756,-0.769979719,-1402.5404,-3.523970854,-1269.0933,133.4471,0.335294221,-3.8658
2193,806,0.441687345,9.951664914,17.82460283,13.73962594,1.235596408,0.330400932,0.169413706,3,12,8.230769231,1.667026558,-0.233072703,-0.357940703,3,10,6.943820225,1.276964275,-0.195584091,-0.19894888,2.59686288,2.970857422,2.814197666,0.060846265,-0.466137526,0.325681035,2.204561408,3.132717191,2.821011158,0.172711667,-0.201918862,-0.588168505,2.204561408,3.132717191,2.803203259,0.179538845,-0.183328589,-0.573554611,74.53997407,102.9552058,95.21086329,4.660764545,-1.747254647,3.056107521,43.22929043,179.4622279,96.22237757,33.33009702,0.416021853,-0.901996992,43.22929043,179.0414102,93.00862243,33.2236146,0.551406801,-0.76137096,-2883.792,-3.577905707,-2590.231,293.561,0.364219603,-3.8407
2872,575,0.488695652,9.531043128,15.54703561,12.1617689,1.097774039,0.518206583,0.390243908,2,12,7.954782609,1.774197737,-0.191967281,-0.462545722,2,11,6.715302491,1.385156256,-0.030527974,0.06798437,2.563184367,3.000922201,2.802963103,0.063402954,-0.47607782,0.437308166,2.225137524,3.125854923,2.811057561,0.172441281,-0.231867028,-0.54032175,2.225137524,3.125854923,2.789699913,0.17704668,-0.226852434,-0.531847215,60.99831172,113.1540084,94.66096688,5.43910961,-1.801895344,4.601305418,45.10171817,179.6078686,95.92061554,33.32612355,0.411997358,-0.929377932,45.10171817,179.6078686,92.90330529,33.06122343,0.531342803,-0.825022013,-2037.6129,-3.543674609,-1830.6495,206.9634,0.359936348,-3.8815
2873,987,0.415400203,11.76964393,17.82590609,14.83340928,1.251090845,0.140821457,-0.768320767,3,12,8.563323202,1.696790999,-0.31071597,-0.49288865,3,10,7.119512195,1.267560179,-0.088117965,-0.146350333,2.522819262,3.007137079,2.826823787,0.066854706,-0.475350703,0.430716915,2.26452357,3.18551393,2.834519391,0.184246696,-0.116457621,-0.660073754,2.26452357,3.18551393,2.808987909,0.188941592,-0.077825357,-0.601533818,68.90172806,103.316814,95.13246927,4.564700088,-1.828929479,3.694518409,44.63285015,179.7860684,96.1007409,33.40153286,0.397147241,-0.9336004,44.63285015,178.9646164,92.80413384,33.10699753,0.527896249,-0.819187135,-3532.4384,-3.578964944,-3172.8354,359.603,0.364339412,-3.8342
2882,528,0.5,8.154285184,16.02031456,11.8812067,1.488541265,0.231385985,-0.006180482,4,12,8.337121212,1.796049018,-0.100820438,-0.695659299,4,11,7.053030303,1.324322879,0.148563793,-0.241603954,2.388471664,3.004037557,2.818165636,0.075146455,-0.771789671,2.043135273,2.137546491,3.187325368,2.828013032,0.191142729,-0.14573417,-0.662391704,2.137546491,3.184124526,2.804825107,0.197549242,-0.081063146,-0.698498931,77.14651323,101.1454698,94.38680079,4.880921144,-1.498940873,1.653795154,44.03618569,179.5797722,95.60036589,33.36132937,0.412342725,-0.909442352,44.03618569,179.5797722,92.39705091,33.15817303,0.539884367,-0.780684266,-1863.6766,-3.52969053,-1669.5053,194.1713,0.367748674,-3.8266
2892,480,0.647916667,2.202581244,20.91315433,12.58722805,3.917368709,-0.392120259,-0.530732512,1,12,8.220833333,2.038559229,0.039979103,-0.588010966,1,11,7.096463023,1.43133832,-0.136704955,0.637989702,1.92209261,3.012631045,2.811696599,0.087961917,-2.511807051,21.15309187,1.92209261,3.252503497,2.826212883,0.208665857,-0.038280574,-0.518066352,1.92209261,3.250120152,2.807146195,0.210344642,0.001272301,-0.474028428,61.85198497,100.168331,92.60484968,5.952870196,-1.376780629,1.965948249,41.99464045,178.9317073,94.52660347,33.36043114,0.430018799,-0.902358601,44.2610133,178.9215833,91.60648534,32.90759972,0.539074757,-0.803021924,-1654.687,-3.447264583,-1459.7666,194.9204,0.406084167,-3.8505
2973,1014,0.414201183,11.84313084,20.42301191,15.01150677,1.428346557,0.758465155,1.304552118,4,12,7.881656805,1.68958216,-0.091664431,-0.674451194,4,11,6.542857143,1.274149603,0.396230434,0.122423186,2.537073839,2.978437722,2.799086339,0.066141353,-0.490863959,0.164238132,2.215550722,3.11740068,2.807307635,0.171801531,-0.241554554,-0.524541073,2.215550722,3.116613065,2.780473778,0.176942116,-0.184595798,-0.597150256,68.3497609,105.4255542,95.21401128,4.924364876,-1.66540815,3.092531681,43.82727112,179.5944158,96.20850305,33.20314801,0.410094107,-0.91613578,44.01221772,179.0768417,92.71137512,32.87241636,0.54634403,-0.785933809,-3618.1222,-3.56816785,-3233.6835,384.4387,0.379130868,-3.8537
